DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2006-2007 Regular Season,10/31/06,Chicago,Road,22,37,21,28,,,,,108,240,39,79,7,13,23,32,13,36,49,22,21,10,16,5,108,91.8,91.8,117.6,71.9,3+,P. Brown , L. Deng , B. Gordon , K. Hinrich , B. Wallace,Not available,Bernie Fryer,193,6,193,188.5/187.5/187,186.5,170,,,
2006-2007 Regular Season,10/31/06,Miami,Home,16,14,21,15,,,,,66,240,25,65,3,17,13,22,4,25,29,13,24,6,21,3,66,91.8,91.8,71.9,117.6,3+,U. Haslem , S. O'Neal , G. Payton , D. Wade , A. Walker,,Derek Richardson,-6,-6,193,-6/-5.5/-5,-4.5,-200,,Boxscore,Odds
2006-2007 Regular Season,10/31/06,Phoenix,Road,41,17,21,27,,,,,106,240,40,77,13,30,13,17,4,25,29,29,25,7,21,5,106,100.0,100.0,106.0,114.0,3+,R. Bell , B. Diaw , S. Marion , S. Nash , K. Thomas,Steve Javie,Tom Washington,-6,-6,205,-8/-8-15/-8.5,-8-15,-380,,,
2006-2007 Regular Season,10/31/06,LA Lakers,Home,26,27,34,27,,,,,114,240,46,83,6,12,16,24,12,31,43,30,19,11,20,1,114,100.0,100.0,114.0,106.0,3+,A. Bynum , L. Odom , S. Parker , S. Vujacic , L. Walton,,Eric Lewis,205,6,205,207.5/207/206.5,207,310,,Boxscore,Odds
2006-2007 Regular Season,11/01/06,Indiana,Road,23,26,28,29,,,,,106,240,35,86,6,16,30,41,18,32,50,26,26,14,17,5,106,101.2,101.2,104.7,97.8,3+,D. Granger , A. Harrington , S. Jackson , J. O'Neal , J. Tinsley,David Jones,Eli Roe,-3,-3,194,PK/-1/PK,-1,,,,
2006-2007 Regular Season,11/01/06,Charlotte,Home,27,23,23,26,,,,,99,240,37,78,4,10,21,32,11,35,46,23,29,8,22,7,99,101.2,101.2,97.8,104.7,3+,R. Felton , B. Knight , S. May , E. Okafor , G. Wallace,,Not available,194,3,194,193.5/193/193.5,193,,,Boxscore,Odds
2006-2007 Regular Season,11/01/06,Chicago,Road,20,25,25,24,,,,,94,240,37,82,6,20,14,24,11,16,27,21,31,7,15,0,94,92.7,92.7,101.4,117.5,B2B,P. Brown , L. Deng , B. Gordon , K. Hinrich , B. Wallace,Ron Garretson,Michael Smith,187,2.5,187,+2.5/+3/-2,-1.5,-125,,,
2006-2007 Regular Season,11/01/06,Orlando,Home,32,31,23,23,,,,,109,240,35,59,6,8,33,42,6,30,36,21,23,7,23,7,109,92.7,92.7,117.5,101.4,3+,T. Battie , G. Hill , D. Howard , J. Nelson , H. Turkoglu,,Not available,-2.5,-2.5,187,186/185.5/184,183.5,105,,Boxscore,Odds
2006-2007 Regular Season,11/01/06,Atlanta,Road,14,21,23,17,,,,,75,240,26,78,4,17,19,22,17,25,42,11,24,9,18,4,75,84.1,84.1,89.2,104.6,3+,S. Claxton , J. Johnson , Z. Pachulia , J. Smith , S. Williams,Not available,Derek Richardson,200.5,7,200.5,198.5/199/200,199,200,,,
2006-2007 Regular Season,11/01/06,Philadelphia,Home,29,20,24,15,,,,,88,240,31,74,3,9,23,25,15,32,47,19,22,10,16,6,88,84.1,84.1,104.6,89.2,3+,S. Dalembert , A. Iguodala , A. Iverson , K. Ollie , C. Webber,,Not available,-7,-7,200.5,-6.5/-5.5/-6,-5.5,-240,,Boxscore,Odds
