DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2008-2009 Regular Season,10/28/08,Cleveland,Road,28,22,13,22,,,,,85,240,29,68,3,15,24,33,8,33,41,16,26,8,21,2,85,92.9,92.9,91.5,96.9,3+,L.James,B.Wallace,Z.Ilgauskas,D.West,M.Williams,James Capers,Joe DeRosa,6,6,182.5,181.5/182/181.5,182.5,220,,,
2008-2009 Regular Season,10/28/08,Boston,Home,22,21,24,23,,,,,90,240,33,74,3,14,21,34,10,26,36,16,28,10,16,0,90,92.9,92.9,96.9,91.5,3+,P.Pierce,K.Garnett,K.Perkins,R.Allen,R.Rondo,,Olandis Poole,182.5,-6,182.5,-6.5/-6/-6.5,-6,-260,,Boxscore,Odds
2008-2009 Regular Season,10/28/08,Milwaukee,Road,26,26,23,20,,,,,95,240,37,78,6,14,15,20,13,19,32,21,30,5,19,3,95,89.8,89.8,105.8,120.3,3+,R.Jefferson,C.Villanueva,A.Bogut,M.Redd,L.Ridnour,Jimmy Clark,Bob Delaney,6.5,6.5,198,194.5/195.5/197.5,198,230,,,
2008-2009 Regular Season,10/28/08,Chicago,Home,26,29,27,26,,,,,108,240,35,69,5,12,33,44,14,26,40,27,18,9,18,6,108,89.8,89.8,120.3,105.8,3+,L.Deng,T.Thomas,D.Gooden,T.Sefolosha,D.Rose,,Mark Ayotte,198,-6.5,198,-6-09/-6/-6.5,-6,-270,,Boxscore,Odds
2008-2009 Regular Season,10/28/08,Portland,Road,14,20,19,23,,,,,76,240,29,84,10,24,8,14,13,31,44,19,17,8,12,3,76,89.1,89.1,85.3,107.7,3+,T.Outlaw,L.Aldridge,G.Oden,B.Roy,S.Blake,Joe Forte,Ken Mauer,7.5,7.5,194.5,196.5/196/195.5,195,305,,,
2008-2009 Regular Season,10/28/08,LA Lakers,Home,24,25,23,24,,,,,96,240,37,79,7,10,15,18,9,40,49,19,17,8,15,7,96,89.1,89.1,107.7,85.3,3+,V.Radmanovic,P.Gasol,A.Bynum,K.Bryant,D.Fisher,,David Guthrie,194.5,-7.5,194.5,-7.5/-8/-8.5,-8,-370,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,Toronto,Road,18,33,23,21,,,,,95,240,36,81,10,16,13,17,10,23,33,24,23,8,9,5,95,84.2,84.2,112.8,99.8,3+,J.Moon,C.Bosh,J.ONeal,A.Parker,J.Calderon,Tony Brothers,Steve Javie,5,5,190,190/189/188,187.5,170,,,
2008-2009 Regular Season,10/29/08,Philadelphia,Home,21,24,20,19,,,,,84,240,29,84,5,20,21,28,23,33,56,15,16,3,17,8,84,84.2,84.2,99.8,112.8,3+,T.Young,E.Brand,S.Dalembert,A.Iguodala,A.Miller,,Haywoode Workman,190,-5,190,-5.5-02/-5.5,-5,-200,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,Atlanta,Road,26,21,27,25,,,,,99,240,38,86,5,20,18,31,18,35,53,17,23,10,14,7,99,92.9,92.9,106.5,91.5,3+,M.Evans,J.Smith,A.Horford,J.Johnson,M.Bibby,Eddie Rush,Bennie Adams,8,8,202,202,202.5,300,,,
2008-2009 Regular Season,10/29/08,Orlando,Home,13,27,15,30,,,,,85,240,32,87,4,25,17,27,17,28,45,10,28,9,15,11,85,92.9,92.9,91.5,106.5,3+,H.Turkoglu,R.Lewis,D.Howard,M.Pietrus,J.Nelson,,Gary Zielinski,202,-8,202,-7.5/-8/-7.5,-8,-360,,Boxscore,Odds
