DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2008-2009 Regular Season,10/29/08,New Jersey,Road,23,21,25,26,,,,,95,240,37,78,6,19,15,18,5,32,37,22,23,7,9,9,95,89.9,89.9,105.7,94.6,3+,Y.Jianlian,B.Simmons,J.Boone,V.Carter,D.Harris,Dan Crawford,Derrick Stafford,6,6,191.5,192.5/193/191,190.5,190,,,
2008-2009 Regular Season,10/29/08,Washington,Home,23,23,21,18,,,,,85,240,30,81,5,21,20,30,13,28,41,18,19,4,15,5,85,89.9,89.9,94.6,105.7,3+,C.Butler,A.Jamison,E.Thomas,D.Stevenson,A.Daniels,,Curtis Blair,191.5,-6,191.5,-6-02/-6-07/-6,-5.5,-230,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,Miami,Road,27,18,30,40,,,,,115,240,42,92,6,23,25,33,13,34,47,22,26,8,14,2,115,103.3,103.3,111.4,116.2,3+,M.Beasley,S.Marion,U.Haslem,M.Chalmers,D.Wade,Sean Corbin,Monty McCutchen,3,3,205.5,208/208.5/209.5,209,120,,,
2008-2009 Regular Season,10/29/08,New York,Home,28,32,31,29,,,,,120,240,42,87,9,25,27,37,14,32,46,27,28,7,15,0,120,103.3,103.3,116.2,111.4,3+,D.Lee,Q.Richardson,Z.Randolph,J.Crawford,C.Duhon,,Ron Olesiak,205.5,-3,205.5,-3/-2.5/-3,-2.5,-140,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,Indiana,Road,17,23,24,30,,,,,94,240,33,67,4,12,24,29,5,33,38,18,20,7,21,8,94,94.5,94.5,99.4,105.8,3+,D.Granger,T.Murphy,R.Nesterovic,M.Daniels,T.Ford,Dick Bavetta,Ed Malloy,10,10,187,187o10/187/187.5,188,500,,,
2008-2009 Regular Season,10/29/08,Detroit,Home,23,27,25,25,,,,,100,240,40,91,6,13,14,16,14,27,41,23,21,11,14,8,100,94.5,94.5,105.8,99.4,3+,T.Prince,A.Johnson,R.Wallace,R.Hamilton,C.Billups,,Eric Lewis,187,-10,187,-10-05/-10,-10.5,-700,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,Sacramento,Road,32,17,28,19,,,,,96,240,36,80,5,17,19,25,9,36,45,22,20,2,15,8,96,94.7,94.7,101.4,103.5,3+,J.Salmons,M.Moore,S.Hawes,K.Martin,B.Udrih,Mike Callahan,Kevin Fehr,5.5,5.5,202.5,202.5,200.5,210,,,
2008-2009 Regular Season,10/29/08,Minnesota,Home,33,23,20,22,,,,,98,240,42,87,3,11,11,22,11,29,40,25,23,10,11,7,98,94.7,94.7,103.5,101.4,3+,C.Brewer,R.Gomes,A.Jefferson,M.Miller,R.Foye,,Marc Davis,202.5,-5.5,202.5,-5.5/-5/-5.5,-6,-250,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,Milwaukee,Road,24,26,29,19,,,,,98,240,35,76,7,18,21,26,14,29,43,17,22,7,19,4,98,89.6,89.6,109.4,97.1,B2B,R.Jefferson,C.Villanueva,A.Bogut,M.Redd,L.Ridnour,David Jones,Mark Wunderlich,2,2,198,198u12/198,199,165,,,
2008-2009 Regular Season,10/29/08,Oklahoma City,Home,14,21,24,28,,,,,87,240,32,73,1,6,22,31,13,22,35,16,23,9,19,3,87,89.6,89.6,97.1,109.4,3+,N.Collison,J.Green,J.Petro,K.Durant,E.Watson,,Derrick Collins,198,-2,198,-3/-3.5/-4,-4.5,-190,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,Phoenix,Road,19,30,25,29,,,,,103,240,39,79,6,15,19,27,9,30,39,24,20,5,10,5,103,88.3,88.3,116.6,110.9,3+,M.Barnes,A.Stoudemire,S.ONeal,R.Bell,S.Nash,Luis Grillo,Violet Palmer,3,3,187.5,+2/+1.5/+1,-1,105,,,
2008-2009 Regular Season,10/29/08,San Antonio,Home,16,30,27,25,,,,,98,240,40,80,5,15,13,19,7,31,38,18,24,4,7,3,98,88.3,88.3,110.9,116.6,3+,B.Bowen,T.Duncan,K.Thomas,M.Finley,T.Parker,,Bennett Salvatore,187.5,-3,187.5,187.5o10/187.5/187,185,-125,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,Memphis,Road,18,19,20,14,,,,,71,240,31,81,0,13,9,13,15,34,49,11,22,7,16,6,71,85.5,85.5,83.1,95.9,3+,R.Gay,D.Milicic,M.Gasol,O.Mayo,M.Conley,Ron Garretson,Courtney Kirkland,11.5,11.5,193,191/190.5/192,192.5,675,,,
2008-2009 Regular Season,10/29/08,Houston,Home,26,17,15,24,,,,,82,240,28,76,5,16,21,25,11,33,44,10,15,9,12,2,82,85.5,85.5,95.9,83.1,3+,R.Artest,L.Scola,Y.Ming,T.McGrady,R.Alston,,John Goble,193,-11.5,193,-11/-11.5/-12,-12.5,-950,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,Denver,Road,27,19,21,27,,,,,94,240,36,77,4,13,18,28,7,28,35,17,27,12,13,3,94,93.2,93.2,100.8,105.1,3+,L.Kleiza,K.Martin,N.Hilario,A.Iverson,A.Carter,Greg Willard,Jason Phillips,7,7,210.5,210/208.5/207,206.5,300,,,
2008-2009 Regular Season,10/29/08,Utah,Home,28,22,25,23,,,,,98,240,37,79,2,8,22,28,12,34,46,17,20,5,16,5,98,93.2,93.2,105.1,100.8,3+,C.Miles,C.Boozer,M.Okur,R.Brewer,R.Price,,Tony Brown,210.5,-7,210.5,-7-05/-7/-7.5,-8,-360,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,New Orleans,Road,27,29,29,23,,,,,108,240,41,82,7,17,19,27,8,34,42,23,24,8,13,6,108,95.9,95.9,112.6,107.4,3+,P.Stojakovic,D.West,T.Chandler,M.Peterson,C.Paul,Joe Crawford,Jack Nies,-4.5,-4.5,209,-6/-6.5/-7,-7.5,-320,,,
2008-2009 Regular Season,10/29/08,Golden State,Home,34,23,27,19,,,,,103,240,36,82,9,23,22,32,11,28,39,18,26,10,13,5,103,95.9,95.9,107.4,112.6,3+,C.Maggette,A.Harrington,A.Biedrins,S.Jackson,D.Nelson,,Michael Smith,209,4.5,209,207.5/208/208.5,206.5,260,,Boxscore,Odds
2008-2009 Regular Season,10/29/08,LA Lakers,Road,30,29,26,32,,,,,117,240,41,80,10,19,25,33,14,37,51,28,19,7,16,3,117,93.6,93.6,125.0,84.4,B2B,V.Radmanovic,P.Gasol,A.Bynum,K.Bryant,D.Fisher,Rodney Mott,Bill Spooner,-8.5,-8.5,203,-9.5/-10/-9.5,-10,-575,,,
2008-2009 Regular Season,10/29/08,LA Clippers,Home,27,17,13,22,,,,,79,240,30,78,5,22,14,23,10,22,32,24,29,9,18,5,79,93.6,93.6,84.4,125.0,3+,A.Thornton,T.Thomas,C.Kaman,C.Mobley,B.Davis,,Derek Richardson,203,8.5,203,202/201/200.5,198,435,,Boxscore,Odds
2008-2009 Regular Season,10/30/08,Charlotte,Road,16,17,26,20,,,,,79,240,25,74,3,12,26,31,14,20,34,16,24,6,13,4,79,83.4,83.4,94.7,115.1,3+,G.Wallace,S.May,E.Okafor,J.Richardson,R.Felton,Jimmy Clark,Bob Delaney,9.5,9.5,185.5,185/184/183,183.5,380,,,
2008-2009 Regular Season,10/30/08,Cleveland,Home,25,25,18,28,,,,,96,240,35,72,7,22,19,29,13,33,46,23,23,7,15,11,96,83.4,83.4,115.1,94.7,1,L.James,B.Wallace,Z.Ilgauskas,D.West,M.Williams,,Mark Ayotte,185.5,-9.5,185.5,-9.5/-10/-9.5,-9,-480,,Boxscore,Odds
2008-2009 Regular Season,10/30/08,Houston,Road,32,30,23,27,,,,,112,240,38,79,7,14,29,31,8,37,45,23,23,5,10,3,112,93.3,93.3,120.0,109.3,B2B,R.Artest,L.Scola,Y.Ming,T.McGrady,R.Alston,Tom Washington,Bill Kennedy,4,4,193,190.5/190/190.5,190,145,,,
2008-2009 Regular Season,10/30/08,Dallas,Home,33,26,27,16,,,,,102,240,35,84,4,16,28,34,10,30,40,23,22,7,8,5,102,93.3,93.3,109.3,120.0,3+,J.Howard,D.Nowitzki,E.Dampier,A.Wright,J.Kidd,,Zach Zarba,193,-4,193,-5/-4.5/-4,-3.5,-165,,Boxscore,Odds
2008-2009 Regular Season,10/30/08,New Orleans,Road,30,26,25,27,,,,,108,240,37,78,13,24,21,28,10,23,33,16,15,10,10,5,108,90.6,90.6,119.2,104.9,B2B,P.Stojakovic,D.West,H.Armstrong,M.Peterson,C.Paul,Joe Forte,Ken Mauer,2,2,198,198/198.5/199,199.5,130,,,
2008-2009 Regular Season,10/30/08,Phoenix,Home,23,21,25,26,,,,,95,240,37,68,7,18,14,21,7,31,38,16,24,2,24,3,95,90.6,90.6,104.9,119.2,B2B,M.Barnes,A.Stoudemire,S.ONeal,R.Bell,S.Nash,,David Guthrie,198,-2,198,-3.5/-4/-3.5,-3,-150,,Boxscore,Odds
2008-2009 Regular Season,10/31/08,New York,Road,24,24,24,15,,,,,87,240,32,98,7,28,16,21,16,27,43,19,15,13,10,0,87,100.9,100.9,86.2,115.0,1,Q.Richardson,D.Lee,Z.Randolph,J.Crawford,C.Duhon,David Jones,Mark Wunderlich,9,9,214.5,215.5/215/214.5,214,290,,,
2008-2009 Regular Season,10/31/08,Philadelphia,Home,31,29,31,25,,,,,116,240,52,88,2,5,10,19,12,49,61,24,17,4,19,7,116,100.9,100.9,115.0,86.2,1,T.Young,E.Brand,S.Dalembert,A.Iguodala,A.Miller,,Matt Boland,214.5,-9,214.5,-8.5-05/-9-05/-8.5-05,-8-05,-350,,Boxscore,Odds
2008-2009 Regular Season,10/31/08,Golden State,Road,22,28,23,23,12,,,,108,265,42,94,11,29,13,19,17,29,46,20,25,6,18,6,108,97.8,88.5,110.5,114.6,1,A.Harrington,S.Jackson,A.Biedrins,C.Maggette,D.Nelson,Dan Crawford,Derrick Stafford,8,8,204,205.5/206/206.5,207,235,,,
2008-2009 Regular Season,10/31/08,Toronto,Home,28,23,24,21,16,,,,112,265,40,78,6,12,26,30,6,30,36,24,18,9,13,9,112,97.8,88.5,114.6,110.5,1,J.Moon,C.Bosh,J.ONeal,A.Parker,J.Calderon,,Pat Fraher,204,-8,204,-7.5/-7.5-05/-7-05,-6.5-05,-275,,Boxscore,Odds
2008-2009 Regular Season,10/31/08,Sacramento,Road,14,17,16,30,,,,,77,240,29,76,2,19,17,20,10,32,42,10,23,7,25,2,77,95.3,95.3,80.8,108.1,1,J.Salmons,M.Moore,S.Hawes,K.Martin,B.Udrih,Eddie Rush,Bennie Adams,5,5,204,204.5/204/203.5,204,240,,,
2008-2009 Regular Season,10/31/08,Miami,Home,22,27,29,25,,,,,103,240,38,81,8,17,19,32,13,29,42,21,18,15,14,8,103,95.3,95.3,108.1,80.8,1,S.Marion,M.Beasley,U.Haslem,D.Wade,M.Chalmers,,Gary Zielinski,204,-5,204,-6-05/-5.5-05/-6-05,-6.5-05,-280,,Boxscore,Odds
2008-2009 Regular Season,10/31/08,Chicago,Road,13,18,23,26,,,,,80,240,25,84,2,8,28,30,13,31,44,11,30,8,20,6,80,99.6,99.6,80.3,96.4,2,L.Deng,T.Thomas,D.Gooden,T.Sefolosha,D.Rose,Kevin Fehr,Bill Spooner,9.5,9.5,191,191/190.5/190,189.5,450,,,
2008-2009 Regular Season,10/31/08,Boston,Home,24,25,21,26,,,,,96,240,32,73,2,8,30,39,9,40,49,15,27,8,20,7,96,99.6,99.6,96.4,80.3,2,P.Pierce,K.Garnett,K.Perkins,R.Allen,R.Rondo,,Marc Davis,191,-9.5,191,-8.5-05/-9-05/-9.5-05,-10-05,-600,,Boxscore,Odds
2008-2009 Regular Season,10/31/08,Orlando,Road,25,30,13,16,,,,,84,240,29,69,10,29,16,26,6,38,44,16,24,7,17,5,84,89.7,89.7,93.6,95.9,1,H.Turkoglu,R.Lewis,D.Howard,M.Pietrus,J.Nelson,Luis Grillo,Violet Palmer,-7,-7,193,-7-05/-7.5-05/-7-05,-7.5-05,-320,,,
2008-2009 Regular Season,10/31/08,Memphis,Home,26,17,18,25,,,,,86,240,30,76,2,13,24,30,8,34,42,11,23,6,10,7,86,89.7,89.7,95.9,93.6,1,R.Gay,D.Arthur,M.Gasol,O.Mayo,M.Conley,,Bennett Salvatore,193,7,193,192/192.5/193,193.5,260,,Boxscore,Odds
2008-2009 Regular Season,10/31/08,Denver,Road,20,17,31,26,19,,,,113,265,38,85,3,13,34,40,15,45,60,19,24,6,18,10,113,104.6,94.7,108.0,98.5,1,L.Kleiza,K.Martin,N.Hilario,A.Iverson,A.Carter,Ron Garretson,Courtney Kirkland,-1,-1,201,-2-05/-2.5-05/-2-05,-1.5-05,-130,,,
2008-2009 Regular Season,10/31/08,LA Clippers,Home,28,27,21,18,9,,,,103,265,37,97,3,16,26,34,18,32,50,17,28,11,14,6,103,104.6,94.7,98.5,108.0,1,A.Thornton,T.Thomas,C.Kaman,C.Mobley,B.Davis,,Brian Forte,201,1,201,199.5/198.5/196.5,197,110,,Boxscore,Odds
2008-2009 Regular Season,10/31/08,San Antonio,Road,22,23,25,29,,,,,99,240,38,68,9,16,14,15,5,26,31,24,21,1,14,0,99,82.2,82.2,120.5,121.7,1,B.Bowen,T.Duncan,M.Bonner,M.Finley,T.Parker,Greg Willard,Jason Phillips,1,1,178,-2-05/-1.5-05/-2-05,-2.5-05,-140,,,
2008-2009 Regular Season,10/31/08,Portland,Home,21,30,27,22,,,,,100,240,38,82,6,17,18,24,13,24,37,17,18,11,6,5,100,82.2,82.2,121.7,120.5,2,T.Outlaw,L.Aldridge,J.Przybilla,B.Roy,S.Blake,,Tony Brown,178,-1,178,177/176/174,174.5,120,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Philadelphia,Road,34,23,18,13,,,,,88,240,35,85,6,16,12,14,15,33,48,21,16,6,18,2,88,88.7,88.7,99.3,107.2,3IN4-B2B,T.Young,E.Brand,S.Dalembert,A.Iguodala,A.Miller,Jimmy Clark,Bob Delaney,3.5,3.5,194.5,192/191.5/190.5,190,115,,,
2008-2009 Regular Season,11/01/08,Atlanta,Home,18,26,22,29,,,,,95,240,39,91,8,25,9,11,14,27,41,21,13,11,9,5,95,88.7,88.7,107.2,99.3,2,M.Williams,J.Smith,A.Horford,J.Johnson,M.Bibby,,Mark Ayotte,194.5,-3.5,194.5,-3.5-07/-3.5/-3,-2.5,-135,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Miami,Road,18,23,27,19,,,,,87,240,32,72,5,21,18,27,11,16,27,17,26,6,11,6,87,84.6,84.6,102.9,118.2,3IN4-B2B,S.Marion,M.Beasley,U.Haslem,D.Wade,M.Chalmers,David Jones,Mark Wunderlich,2.5,2.5,192.5,192/191/189.5,188,120,,,
2008-2009 Regular Season,11/01/08,Charlotte,Home,24,28,25,23,,,,,100,240,37,69,5,10,21,32,12,29,41,25,24,4,20,5,100,84.6,84.6,118.2,102.9,1,G.Wallace,J.Dudley,E.Okafor,J.Richardson,R.Felton,,Eli Roe,192.5,-2.5,192.5,-3/-2.5/-3,-2.5,-140,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Boston,Road,17,24,17,21,,,,,79,240,27,78,4,20,21,35,17,35,52,15,25,8,24,5,79,94.6,94.6,83.5,100.4,B2B,P.Pierce,K.Garnett,K.Perkins,R.Allen,R.Rondo,Dan Crawford,Violet Palmer,-5.5,-5.5,191.5,-5.5/-6/-6.5,-6,-240,,,
2008-2009 Regular Season,11/01/08,Indiana,Home,27,21,21,26,,,,,95,240,33,81,6,22,23,27,12,36,48,20,27,9,12,8,95,94.6,94.6,100.4,83.5,2,D.Granger,T.Murphy,R.Nesterovic,M.Daniels,T.Ford,,Leroy Richardson,191.5,5.5,191.5,191.5o07/191.5,193.5,200,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Sacramento,Road,28,21,27,27,,,,,103,240,39,74,5,15,20,24,6,22,28,21,24,5,12,5,103,88.6,88.6,116.3,136.6,3IN4-B2B,J.Salmons,M.Moore,S.Hawes,K.Martin,B.Udrih,Tom Washington,Ed Malloy,9,9,202,200.5/201/199,198,475,,,
2008-2009 Regular Season,11/01/08,Orlando,Home,32,27,29,33,,,,,121,240,44,80,8,22,25,31,15,25,40,25,18,6,12,5,121,88.6,88.6,136.6,116.3,3IN4-B2B,H.Turkoglu,R.Lewis,D.Howard,M.Pietrus,J.Nelson,,Sean Wright,202,-9,202,-9.5/-10/-10.5,-11,-650,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Washington,Road,21,31,24,33,,,,,109,240,41,79,4,13,23,25,5,19,24,22,23,7,8,2,109,91.2,91.2,119.5,128.3,2,C.Butler,A.Jamison,E.Thomas,D.Stevenson,A.Daniels,Mike Callahan,Phil Robinson,10.5,10.5,180,180/180o09/180,178.5,400,,,
2008-2009 Regular Season,11/01/08,Detroit,Home,31,20,30,36,,,,,117,240,42,79,6,14,27,32,16,33,49,24,24,5,17,7,117,91.2,91.2,128.3,119.5,2,T.Prince,A.Johnson,R.Wallace,R.Hamilton,C.Billups,,Bill Kennedy,180,-10.5,180,-10.5/-10/-9.5,-9,-500,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Golden State,Road,24,28,33,20,,,,,105,240,32,76,7,19,34,52,14,27,41,18,21,8,16,5,105,94.8,94.8,110.8,102.3,3IN4-B2B,C.Maggette,A.Harrington,A.Biedrins,S.Jackson,D.Nelson,Dick Bavetta,Tony Brothers,5,5,208.5,206.5/205.5/205,206.5,155,,,
2008-2009 Regular Season,11/01/08,New Jersey,Home,25,26,18,28,,,,,97,240,35,83,6,20,21,28,16,29,45,22,39,7,17,7,97,94.8,94.8,102.3,110.8,2,B.Simmons,Y.Jianlian,J.Boone,V.Carter,D.Harris,,Eric Lewis,208.5,-5,208.5,-5.5/-5/-4.5,-4,-175,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Dallas,Road,31,22,14,28,,,,,95,240,37,83,5,16,16,20,7,31,38,18,20,10,11,4,95,92.1,92.1,103.1,92.3,1,J.Howard,D.Nowitzki,E.Dampier,J.Stackhouse,J.Kidd,James Capers,Monty McCutchen,-3.5,-3.5,203.5,-4/-4.5/-5,-5.5,-240,,,
2008-2009 Regular Season,11/01/08,Minnesota,Home,20,29,15,21,,,,,85,240,31,79,1,12,22,24,10,32,42,15,20,4,15,4,85,92.1,92.1,92.3,103.1,2,C.Brewer,R.Gomes,A.Jefferson,M.Miller,R.Foye,,Ron Olesiak,203.5,3.5,203.5,204/202.5/202,199.5,200,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Cleveland,Road,27,21,24,20,,,,,92,240,36,75,9,22,11,19,7,29,36,21,24,5,17,4,92,91.2,91.2,100.8,114.0,1,L.James,B.Wallace,Z.Ilgauskas,D.West,M.Williams,Sean Corbin,Gary Zielinski,4.5,4.5,189.5,188.5/188/186.5,185,135,,,
2008-2009 Regular Season,11/01/08,New Orleans,Home,19,30,24,31,,,,,104,240,36,76,7,13,25,29,9,27,36,25,19,9,14,2,104,91.2,91.2,114.0,100.8,3IN4,R.Butler,D.West,H.Armstrong,M.Peterson,C.Paul,,Derrick Collins,189.5,-4.5,189.5,-3.5/-4/-3.5,-3,-155,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Memphis,Road,19,31,20,16,,,,,86,240,32,75,3,6,19,26,10,33,43,13,26,6,16,4,86,89.5,89.5,96.1,107.2,3IN4-B2B,R.Gay,D.Arthur,M.Gasol,O.Mayo,M.Conley,Joe DeRosa,Leon Wood,9,9,193.5,193.5/193/192.5,190.5,315,,,
2008-2009 Regular Season,11/01/08,Chicago,Home,19,23,33,21,,,,,96,240,32,84,8,19,24,30,18,33,51,19,15,7,12,11,96,89.5,89.5,107.2,96.1,B2B,L.Deng,T.Thomas,D.Gooden,T.Sefolosha,D.Rose,,Olandis Poole,193.5,-9,193.5,-9-05/-9/-8.5,-8,-390,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Oklahoma City,Road,17,24,18,18,,,,,77,240,34,85,0,4,9,12,5,34,39,18,23,9,14,8,77,95.5,95.5,80.6,93.2,2,N.Collison,J.Green,J.Petro,K.Durant,E.Watson,Steve Javie,Rodney Mott,14,14,192.5,192.5/192/191,193,,,,
2008-2009 Regular Season,11/01/08,Houston,Home,20,22,23,24,,,,,89,240,28,77,6,21,27,31,10,39,49,18,10,8,16,2,89,95.5,95.5,93.2,80.6,3IN4,R.Artest,L.Scola,Y.Ming,T.McGrady,R.Alston,,Scott Wall,192.5,-14,192.5,-14,-14.5,,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Toronto,Road,24,17,29,21,,,,,91,240,30,63,8,16,23,26,3,32,35,22,19,6,18,6,91,90.1,90.1,101.0,96.5,3IN4-B2B,C.Bosh,J.Moon,J.ONeal,A.Parker,J.Calderon,Kevin Fehr,Scott Foster,1,1,193.5,PK/+1/+1.5,1,-108,,,
2008-2009 Regular Season,11/01/08,Milwaukee,Home,22,17,21,27,,,,,87,240,36,81,3,13,12,19,9,30,39,24,27,7,14,4,87,90.1,90.1,96.5,101.0,2,R.Jefferson,C.Villanueva,A.Bogut,M.Redd,R.Sessions,,Marc Davis,193.5,-1,193.5,191.5/190/189,189.5,-102,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,LA Clippers,Road,25,23,12,19,,,,,79,240,29,73,3,9,18,20,11,32,43,12,20,1,18,8,79,85.6,85.6,92.3,118.0,3IN4-B2B,A.Thornton,T.Thomas,C.Kaman,C.Mobley,J.Hart,Joe Forte,Ken Mauer,11,11,193,192/191.5/190,189,1100,,,
2008-2009 Regular Season,11/01/08,Utah,Home,24,24,27,26,,,,,101,240,43,88,2,9,13,22,15,28,43,29,21,9,4,5,101,85.6,85.6,118.0,92.3,2,C.Miles,C.Boozer,M.Okur,R.Brewer,R.Price,,Tommy Nunez Jr.,193,-11,193,-11-05/-11/-14,-13.5,-1500,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,Portland,Road,23,27,22,24,,,,,96,240,37,81,9,22,13,14,9,19,28,18,25,7,10,3,96,86.2,86.2,111.3,124.1,B2B,T.Outlaw,L.Aldridge,J.Przybilla,B.Roy,S.Blake,Ron Garretson,Courtney Kirkland,7.5,7.5,191,192/193/194,195.5,330,,,
2008-2009 Regular Season,11/01/08,Phoenix,Home,29,20,31,27,,,,,107,240,38,69,6,17,25,30,4,32,36,17,12,7,11,3,107,86.2,86.2,124.1,111.3,3IN4,M.Barnes,A.Stoudemire,S.ONeal,R.Bell,S.Nash,,Brian Forte,191,-7.5,191,-7.5/-8,-9,-420,,Boxscore,Odds
2008-2009 Regular Season,11/01/08,LA Lakers,Road,23,23,30,28,,,,,104,240,33,87,6,17,32,43,15,38,53,18,25,8,15,5,104,101.9,101.9,102.1,95.2,2,V.Radmanovic,P.Gasol,A.Bynum,K.Bryant,D.Fisher,Joe Crawford,Michael Smith,-6.5,-6.5,210,-7.5/-8/-8.5,-8,-420,,,
2008-2009 Regular Season,11/01/08,Denver,Home,21,31,24,21,,,,,97,240,34,74,8,22,21,30,3,35,38,30,26,9,19,5,97,101.9,101.9,95.2,102.1,3IN4-B2B,C.Anthony,K.Martin,N.Hilario,A.Iverson,A.Carter,,Eric Dalen,210,6.5,210,210u12/210/209.5,211,330,,Boxscore,Odds
