DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2011-2012 Regular Season,12/25/11,Boston,Road,23,29,35,17,,,,,104,240,39,76,2,5,24,31,13,28,41,28,28,7,19,5,104,93.7,93.7,111.0,113.1,3+,S.Pavlovic,K.Garnett,J.O`Neal,R.Allen,R.Rondo,Joe Crawford,Zach Zarba,PK,0,202,90.5 / 190 / 189.5,189,170,95.5o15,,
2011-2012 Regular Season,12/25/11,New York,Home,34,28,17,27,,,,,106,240,35,74,9,20,27,34,8,23,31,17,25,9,16,11,106,93.7,93.7,113.1,111.0,3+,C.Anthony,A.Stoudemire,T.Chandler,T.Douglas,L.Fields,,Marat Kogut,202,0,202,4.5  / -5  / -4.5,-5,-200,1,Boxscore,Odds
2011-2012 Regular Season,12/25/11,Miami,Road,32,30,35,8,,,,,105,240,38,78,4,7,25,36,15,36,51,18,28,9,23,6,105,99.8,99.8,105.2,94.2,3+,L.James,C.Bosh,J.Anthony,D.Wade,M.Chalmers,Scott Foster,Rodney Mott,-1,-1,193.5,4.5  / -4  / -4.5,-5,-200,+3 -20,,
2011-2012 Regular Season,12/25/11,Dallas,Home,17,24,24,29,,,,,94,240,31,82,9,28,23,30,8,23,31,23,29,10,17,0,94,99.8,99.8,94.2,105.2,3+,S.Marion,D.Nowitzki,B.Haywood,V.Carter,J.Kidd,,Josh Tiven,193.5,1,193.5,89 / 188.5 / 189.5,190,170,95,Boxscore,Odds
2011-2012 Regular Season,12/25/11,Chicago,Road,22,34,12,20,,,,,88,240,36,89,7,15,9,14,16,25,41,21,21,14,14,4,88,88.0,88.0,100.0,98.9,3+,L.Deng,C.Boozer,J.Noah,R.Hamilton,D.Rose,Greg Willard,Bennie Adams,187.5,3,187.5,4  / -4.5  / -5,-5.5,-230,-1 -05,,
2011-2012 Regular Season,12/25/11,LA Lakers,Home,20,29,20,18,,,,,87,240,36,76,4,16,11,20,12,30,42,22,20,6,17,8,87,88.0,88.0,98.9,100.0,3+,D.Ebanks,J.McRoberts,P.Gasol,K.Bryant,D.Fisher,,Kevin Cutler,-3,-3,187.5,84.5 / 184 / 183.5,183,190,92.5,Boxscore,Odds
2011-2012 Regular Season,12/25/11,Orlando,Road,22,19,22,26,,,,,89,240,30,81,8,28,21,26,14,31,45,18,25,7,18,4,89,93.0,93.0,95.7,104.3,3+,H.Turkoglu,R.Anderson,D.Howard,J.Richardson,J.Nelson,Bill Kennedy,Derrick Collins,201.5,6.5,201.5,95.5 / 195 / 194.5,194,290,96,,
2011-2012 Regular Season,12/25/11,Oklahoma City,Home,27,28,26,16,,,,,97,240,34,72,10,19,19,26,7,36,43,21,22,8,17,5,97,93.0,93.0,104.3,95.7,3+,K.Durant,S.Ibaka,K.Perkins,T.Sefolosha,R.Westbrook,,Nick Buchert,-6.5,-6.5,201.5,8  / -8.5  / -8,-7.5,-350,PK -15,Boxscore,Odds
2011-2012 Regular Season,12/25/11,LA Clippers,Road,24,17,34,30,,,,,105,240,37,81,8,23,23,38,13,30,43,22,19,9,10,8,105,90.3,90.3,116.3,95.3,3+,C.Butler,B.Griffin,D.Jordan,C.Billups,C.Paul,Ron Garretson,Leon Wood,215.5,2,215.5,5.5  / -5  / -4.5,-5,-220,,,
2011-2012 Regular Season,12/25/11,Golden State,Home,20,23,25,18,,,,,86,240,32,82,5,21,17,24,17,31,48,17,32,4,16,8,86,90.3,90.3,95.3,116.3,3+,D.Wright,D.Lee,A.Biedrins,M.Ellis,S.Curry,,Mark Ayotte,-2,-2,215.5,08.5 / 209 / 209.5,209,180,,Boxscore,Odds
2011-2012 Regular Season,12/26/11,Milwaukee,Road,27,25,14,29,,,,,95,240,34,84,8,23,19,23,8,31,39,21,20,6,12,2,95,94.7,94.7,100.3,101.4,3+,S.Jackson,E.Ilyasova,A.Bogut,M.Dunleavy,B.Jennings,Michael Smith,Jason Phillips,-1.5,-1.5,180.5,3.5  / -4  / -4.5,-4,-180,+0.5 -15,,
2011-2012 Regular Season,12/26/11,Charlotte,Home,19,22,30,25,,,,,96,240,38,86,4,19,16,21,15,37,52,27,20,3,16,6,96,94.7,94.7,101.4,100.3,3+,C.Maggette,D.White,B.Diaw,G.Henderson,D.Augustin,,Mark Lindsay,180.5,1.5,180.5,79.5 / 179 / 178.5,178,160,88.5,Boxscore,Odds
2011-2012 Regular Season,12/26/11,Toronto,Road,23,29,26,26,,,,,104,240,42,79,9,21,11,13,11,34,45,35,22,4,12,9,104,84.9,84.9,122.5,113.1,3+,R.Butler,A.Bargnani,A.Johnson,D.DeRozan,J.Calderon,Monty McCutchen,Violet Palmer,198.5u14,3.5,198.5,96 / 195 / 194.5,194,110,95,,
2011-2012 Regular Season,12/26/11,Cleveland,Home,23,19,28,26,,,,,96,240,35,85,6,20,20,28,15,22,37,21,16,7,7,1,96,84.9,84.9,113.1,122.5,3+,O.Casspi,A.Jamison,A.Varejao,A.Parker,K.Irving,,JT Orr,-3.5 -05,-3.5,198.5,3.5  / -3  / -2.5,-2,-130,-3.5,Boxscore,Odds
