DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2010-2011 Regular Season,10/27/10,Memphis,Home,22,28,25,29,,,,,104,240,40,86,4,9,20,25,9,30,39,13,26,7,14,4,104,99.0,99.0,105.1,120.2,3+,R.Gay,D.Arthur,Z.Randolph,O.Mayo,M.Conley,,Sean Wright,-5.5 -02,-5.5,198,3 -08 / -3  / -2.5,-2,-130,-4 -15,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Sacramento,Road,27,26,34,30,,,,,117,240,39,85,4,11,35,47,14,31,45,25,24,8,13,4,117,102.2,102.2,114.4,113.5,3+,C.Landry,D.Greene,D.Cousins,F.Garcia,B.Udrih,Derrick Stafford,Eli Roe,196.5,4.5,196.5,04.5 / 204 / 204.5,205,135,101.5,,
2010-2011 Regular Season,10/27/10,Minnesota,Home,23,35,25,33,,,,,116,240,43,91,8,18,22,28,11,35,46,22,32,5,13,8,116,102.2,102.2,113.5,114.4,3+,M.Beasley,K.Love,D.Milicic,W.Ellington,L.Ridnour,,Zach Zarba,-4.5 -05,-4.5,196.5,4.5 +03 / -4 EVEN / -4,-3.5,-155,-0.5,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Milwaukee,Road,30,17,25,19,,,,,91,240,33,77,8,23,17,28,8,37,45,14,27,4,12,2,91,92.4,92.4,98.4,102.8,3+,C.Delfino,D.Gooden,A.Bogut,J.Salmons,B.Jennings,Scott Foster,Matt Boland,193.5,3.5,193.5,89.5 / 189 / 188.5,189,130,95,,
2010-2011 Regular Season,10/27/10,New Orleans,Home,29,18,31,17,,,,,95,240,34,79,4,17,23,29,6,38,44,23,26,4,9,0,95,92.4,92.4,102.8,98.4,3+,T.Ariza,D.West,E.Okafor,M.Belinelli,C.Paul,,Kevin Cutler,-3.5 -05,-3.5,193.5,3.5 EVEN / -3  / -3.5,-3,-150,-2,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Chicago,Road,25,29,28,13,,,,,95,240,40,93,2,14,13,22,15,36,51,21,28,6,15,6,95,99.4,99.4,95.6,106.7,3+,T.Gibson,L.Deng,J.Noah,K.Bogans,D.Rose,Ken Mauer,Courtney Kirkland,195,6,195,93 / 193.5 / 194,193,230,95.5,,
2010-2011 Regular Season,10/27/10,Oklahoma City,Home,30,29,23,24,,,,,106,240,32,78,4,18,38,47,9,35,44,17,15,11,12,10,106,99.4,99.4,106.7,95.6,3+,K.Durant,J.Green,N.Krstic,T.Sefolosha,R.Westbrook,,Brent Barnaky,-6 -05,-6,195,6 -03 / -6 -05 / -6,-6.5,-270,-2.5 -15,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Charlotte,Road,21,24,22,19,,,,,86,240,29,73,5,13,23,24,8,28,36,22,15,8,21,3,86,93.3,93.3,92.2,108.3,3+,G.Wallace,B.Diaw,N.Mohammed,S.Jackson,D.Augustin,Ron Garretson,Tony Brown,190.5,6.5,190.5,81.5 / 182 / 182.5,183,250,92.5,,
2010-2011 Regular Season,10/27/10,Dallas,Home,25,24,31,21,,,,,101,240,41,75,4,15,15,18,7,34,41,29,18,12,17,5,101,93.3,93.3,108.3,92.2,3+,C.Butler,D.Nowitzki,T.Chandler,J.Terry,J.Kidd,,David Guthrie,-6.5,-6.5,190.5,7.5  / -7  / -6.5,-7,-300,-3 -15,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Indiana,Road,31,34,24,20,,,,,109,240,41,77,8,21,19,28,9,27,36,20,26,9,23,6,109,100.9,100.9,108.1,121.0,3+,D.Granger,J.McRoberts,R.Hibbert,M.Dunleavy,D.Collison,Dick Bavetta,Scott Wall,202.5,9,202.5,03 / 203.5 / 203,204,335,102,,
2010-2011 Regular Season,10/27/10,San Antonio,Home,37,29,26,30,,,,,122,240,42,83,9,20,29,36,9,26,35,29,21,15,14,5,122,100.9,100.9,121.0,108.1,3+,R.Jefferson,T.Duncan,D.Blair,M.Ginobili,T.Parker,,Derrick Collins,-9 -05,-9,202.5,9 EVEN / -9 -01 / -9,-8.5,-430,-6 -05,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Utah,Road,20,20,25,23,,,,,88,240,27,70,3,13,31,43,11,33,44,21,30,7,22,4,88,98.8,98.8,89.1,111.4,3+,A.Kirilenko,P.Millsap,A.Jefferson,R.Bell,D.Williams,Bennie Adams,Bill Kennedy,204,4.5,204,06.5 / 208 / 209,209.5,135,106,,
2010-2011 Regular Season,10/27/10,Denver,Home,29,31,26,24,,,,,110,240,35,80,6,20,34,41,12,34,46,23,31,9,16,2,110,98.8,98.8,111.4,89.1,3+,C.Anthony,S.Williams,N.Hilario,A.Afflalo,C.Billups,,Nick Buchert,-4.5 -05,-4.5,204,3.5  / -4  / -3.5,-3,-155,+3.5 -15,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Houston,Road,31,37,28,32,,,,,128,240,41,87,4,16,42,52,15,24,39,24,20,9,9,2,128,100.0,100.0,128.0,132.0,B2B,S.Battier,L.Scola,C.Hayes,K.Martin,A.Brooks,Greg Willard,Pat Fraher,210,4,210,18 / 218.5 / 218,217,135,110,,
2010-2011 Regular Season,10/27/10,Golden State,Home,34,33,37,28,,,,,132,240,51,92,8,20,22,26,14,31,45,25,30,5,13,7,132,100.0,100.0,132.0,128.0,3+,D.Wright,D.Lee,A.Biedrins,M.Ellis,S.Curry,,Mark Ayotte,-4 -05,-4,210,3  / -3.5  / -3,-3.5,-155,-2.5,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Portland,Road,31,23,16,28,,,,,98,240,36,88,8,20,18,23,21,30,51,17,23,9,14,6,98,88.4,88.4,110.8,99.5,B2B,N.Batum,L.Aldridge,M.Camby,B.Roy,A.Miller,Monty McCutchen,Tom Washington,-2 -05,-2,197.5,2.5 -08 / -2.5  / -3,-2.5,-140,+0.5 -15,,
2010-2011 Regular Season,10/27/10,LA Clippers,Home,23,26,22,17,,,,,88,240,32,79,5,18,19,30,14,27,41,19,20,8,15,8,88,88.4,88.4,99.5,110.8,3+,R.Gomes,B.Griffin,C.Kaman,E.Gordon,B.Davis,,Tommy Nunez Jr.,197.5,2,197.5,91.5 / 191 / 191.5,192,120,95,Boxscore,Odds
2010-2011 Regular Season,10/28/10,Washington,Road,15,19,25,24,,,,,83,240,29,78,4,19,21,30,3,22,25,17,25,10,13,3,83,99.1,99.1,83.8,113.0,3+,A.Thornton,A.Blatche,J.McGee,K.Hinrich,J.Wall,Tony Brothers,Dan Crawford,193.5o10,13,193.5,91.5 / 192 / 191.5,191,1025,93.5,,
2010-2011 Regular Season,10/28/10,Orlando,Home,29,29,32,22,,,,,112,240,43,77,8,24,18,32,11,42,53,20,22,5,21,3,112,99.1,99.1,113.0,83.8,3+,Q.Richardson,R.Lewis,D.Howard,V.Carter,J.Nelson,,Kevin Cutler,-13 -05,-13,193.5,13.5 -08 / -13.5  / -14,-13.5,-1450,-1,Boxscore,Odds
2010-2011 Regular Season,10/28/10,Phoenix,Road,27,31,26,26,,,,,110,240,37,80,10,26,26,34,12,32,44,20,25,11,15,4,110,95.5,95.5,115.2,98.5,1,G.Hill,H.Turkoglu,R.Lopez,J.Richardson,S.Nash,Monty McCutchen,Tom Washington,208.5,6,208.5,08.5 / 208 / 209,209.5,260,104.5o15,,
2010-2011 Regular Season,10/28/10,Utah,Home,22,20,30,22,,,,,94,240,36,84,3,13,19,27,14,31,45,19,28,8,16,6,94,95.5,95.5,98.5,115.2,B2B,A.Kirilenko,P.Millsap,A.Jefferson,R.Bell,D.Williams,,Derek Richardson,-6 -05,-6,208.5,6  / -6.5  / -7,-7.5,-320,-7.5,Boxscore,Odds
2010-2011 Regular Season,10/29/10,Indiana,Road,27,23,23,31,,,,,104,240,36,80,12,29,20,24,9,25,34,25,28,5,11,11,104,89.5,89.5,116.1,112.8,1,D.Granger,J.McRoberts,R.Hibbert,M.Dunleavy,D.Collison,David Jones,Jason Phillips,191.5o13,5.5,191.5,96 / 196.5 / 197,197.5,170,97.5,,
2010-2011 Regular Season,10/29/10,Charlotte,Home,31,27,22,21,,,,,101,240,31,70,4,12,35,45,15,30,45,17,21,3,17,7,101,89.5,89.5,112.8,116.1,1,G.Wallace,B.Diaw,N.Mohammed,S.Jackson,D.Augustin,,Kane Fitzgerald,-5.5 -05,-5.5,191.5,5.5 -05 / -5 -05 / -4.5 -05,-5 -05,-200,-0.5 -05,Boxscore,Odds
2010-2011 Regular Season,10/29/10,Sacramento,Road,21,32,24,23,,,,,100,240,39,93,5,20,17,26,10,21,31,21,32,7,12,3,100,101.7,101.7,98.3,104.2,1,O.Casspi,C.Landry,D.Cousins,T.Evans,B.Udrih,Rodney Mott,Michael Smith,199,2,199,98 / 197.5 / 198,197.5,115,98.5,,
2010-2011 Regular Season,10/29/10,New Jersey,Home,29,32,15,30,,,,,106,240,32,61,6,11,36,45,5,38,43,18,30,2,27,4,106,101.7,101.7,104.2,98.3,1,T.Outlaw,J.Smith,B.Lopez,A.Morrow,D.Harris,,Brian Forte,-2 -08,-2,199,2  / -2 -05 / -2.5 -05,-2 -05,-135,1.5,Boxscore,Odds
2010-2011 Regular Season,10/29/10,Atlanta,Road,33,29,22,20,,,,,104,240,36,70,6,17,26,31,10,36,46,24,26,3,20,8,104,92.8,92.8,112.1,108.9,1,M.Williams,J.Smith,A.Horford,J.Johnson,M.Bibby,Bob Delaney,John Goble,-3.5 -12,-3.5,194.5,3.5 -12 / -4 -05 / -3.5,-3.5 -05,-165,1,,
2010-2011 Regular Season,10/29/10,Philadelphia,Home,30,22,22,27,,,,,101,240,35,85,5,11,26,33,12,24,36,24,21,9,9,6,101,92.8,92.8,108.9,112.1,1,J.Kapono,E.Brand,S.Hawes,A.Iguodala,J.Holiday,,Haywoode Workman,194.5,3.5,194.5,92.5 / 193 / 193.5,193,145,97,Boxscore,Odds
2010-2011 Regular Season,10/29/10,Cleveland,Road,20,18,17,26,,,,,81,240,32,84,9,19,8,10,9,24,33,15,19,9,19,2,81,94.7,94.7,85.6,106.7,1,J.Moon,J.Hickson,R.Hollins,A.Parker,R.Sessions,Courtney Kirkland,Ed Malloy,197,3,197,96 / 195 / 194,194.5,150,95.5,,
2010-2011 Regular Season,10/29/10,Toronto,Home,24,22,31,24,,,,,101,240,39,82,6,20,17,18,11,35,46,24,19,11,19,5,101,94.7,94.7,106.7,85.6,1,L.Kleiza,R.Evans,A.Bargnani,D.DeRozan,J.Jack,,Eli Roe,-3  EVEN,-3,197,2.5 -05 / -3 -05 / -3.5 -05,-4 -05,-170,PK ,Boxscore,Odds
2010-2011 Regular Season,10/29/10,New York,Road,20,26,26,29,,,,,101,240,37,85,9,27,18,27,9,29,38,24,20,8,10,9,101,98.1,98.1,103.0,107.0,1,D.Gallinari,A.Stoudemire,T.Mozgov,R.Felton,L.Fields,Mike Callahan,Leon Wood,198,9,198,98.5 / 199 / 199.5,200,400,100.5,,
2010-2011 Regular Season,10/29/10,Boston,Home,27,23,29,26,,,,,105,240,44,91,5,16,12,18,14,40,54,33,23,2,18,1,105,98.1,98.1,107.0,103.0,3IN4,P.Pierce,K.Garnett,S.O`Neal,R.Allen,R.Rondo,,Josh Tiven,-9  EVEN,-9,198,9 -02 / -9  / -9 -05,-9.5 -05,-500,-5 -15,Boxscore,Odds
2010-2011 Regular Season,10/29/10,Oklahoma City,Road,26,30,27,22,,,,,105,240,33,85,2,15,37,44,18,29,47,16,20,14,12,4,105,93.7,93.7,112.1,111.0,1,J.Green,K.Durant,N.Krstic,T.Sefolosha,R.Westbrook,Marc Davis,Sean Wright,-6 -01,-6,196,6  / -6 -05 / -6.5 -05,-6 -05,-260,-2 -15,,
2010-2011 Regular Season,10/29/10,Detroit,Home,21,30,28,25,,,,,104,240,40,85,8,12,16,20,15,28,43,16,27,1,18,7,104,93.7,93.7,111.0,112.1,1,T.Prince,A.Daye,B.Wallace,R.Hamilton,R.Stuckey,,Eric Dalen,196,6,196,96 / 195.5 / 195,195.5,220,96,Boxscore,Odds
2010-2011 Regular Season,10/29/10,Orlando,Road,24,21,10,15,,,,,70,240,21,69,4,24,24,34,8,32,40,5,20,5,16,3,70,88.8,88.8,78.8,108.1,B2B,Q.Richardson,R.Lewis,D.Howard,V.Carter,J.Nelson,Scott Foster,Scott Wall,184,4,184,87 / 187.5 / 188,188.5,140,94,,
2010-2011 Regular Season,10/29/10,Miami,Home,24,27,28,17,,,,,96,240,33,81,9,18,21,27,14,37,51,17,27,6,12,5,96,88.8,88.8,108.1,78.8,3IN4,L.James,C.Bosh,J.Anthony,D.Wade,C.Arroyo,,Matt Boland,-4 -05,-4,184,3 -05 / -3.5 -05 / -3 -05,-3.5 -05,-160,PK -15,Boxscore,Odds
2010-2011 Regular Season,10/29/10,Milwaukee,Road,28,18,18,21,,,,,85,240,31,87,3,20,20,25,9,30,39,18,29,4,14,5,85,98.1,98.1,86.7,97.9,1,C.Delfino,D.Gooden,A.Bogut,J.Salmons,B.Jennings,Ron Garretson,David Guthrie,-4 -05,-4,201,4 -13 / -4  / -4 -05,-4.5 -05,-190,-4.5,,
2010-2011 Regular Season,10/29/10,Minnesota,Home,27,28,19,22,,,,,96,240,32,85,6,22,26,36,20,42,62,13,27,8,19,11,96,98.1,98.1,97.9,86.7,1,M.Beasley,K.Love,D.Milicic,W.Ellington,L.Ridnour,,Marat Kogut,201,4,201,02 / 202.5 / 204.5,204,165,102,Boxscore,Odds
2010-2011 Regular Season,10/29/10,Denver,Road,25,25,21,24,,,,,95,240,35,72,6,15,19,25,11,26,37,19,22,9,20,2,95,89.4,89.4,106.3,113.0,1,C.Anthony,S.Williams,N.Hilario,A.Afflalo,C.Billups,Bill Spooner,Eric Lewis,-1  EVEN,-1,205,06 / 207 / 208,208.5,110,104.5,,
2010-2011 Regular Season,10/29/10,New Orleans,Home,27,32,13,29,,,,,101,240,38,77,6,17,19,24,11,24,35,23,22,11,15,8,101,89.4,89.4,113.0,106.3,1,D.West,T.Ariza,E.Okafor,M.Belinelli,C.Paul,,James Williams,205,1,205,1.5 -05 / -1 -05 / -1.5 -05,-2 -05,-130,+1.5 -15,Boxscore,Odds
2010-2011 Regular Season,10/29/10,Memphis,Road,24,17,28,22,,,,,91,240,31,80,4,15,25,36,14,31,45,17,24,12,13,3,91,93.1,93.1,97.7,96.6,1,R.Gay,D.Arthur,M.Gasol,O.Mayo,M.Conley,Ken Mauer,Derrick Collins,199,11.5,199,99 / 199.5 / 200,199.5,400,97.5,,
2010-2011 Regular Season,10/29/10,Dallas,Home,29,21,25,15,,,,,90,240,34,72,6,18,16,24,8,37,45,24,22,7,20,6,90,93.1,93.1,96.6,97.7,1,C.Butler,D.Nowitzki,T.Chandler,J.Terry,J.Kidd,,Nick Buchert,-11.5 -05,-11.5,199,10.5 -05 / -10 -05 / -9.5 -05,-9 -05,-500,-2,Boxscore,Odds
2010-2011 Regular Season,10/29/10,LA Clippers,Road,28,26,13,24,,,,,91,240,32,83,5,18,22,32,14,26,40,17,16,7,17,1,91,96.6,96.6,94.2,112.9,1,R.Gomes,B.Griffin,C.Kaman,E.Gordon,B.Davis,Bennie Adams,Bill Kennedy,218,5.5,218,18 / 217.5 / 219,219.5,220,108.5,,
2010-2011 Regular Season,10/29/10,Golden State,Home,27,31,32,19,,,,,109,240,43,81,14,24,9,17,9,37,46,32,25,8,18,7,109,96.6,96.6,112.9,94.2,1,D.Wright,D.Lee,A.Biedrins,M.Ellis,S.Curry,,Gary Zielinski,-5.5 -05,-5.5,218,5.5 -05 / -5 -05 / -5.5 -05,-6 -05,-260,-2.5,Boxscore,Odds
2010-2011 Regular Season,10/29/10,LA Lakers,Road,28,29,30,27,,,,,114,240,46,95,12,27,10,12,13,33,46,21,14,8,11,3,114,94.8,94.8,120.3,111.9,2,R.Artest,L.Odom,P.Gasol,K.Bryant,D.Fisher,Joe Crawford,Pat Fraher,-4,-4,211.5,5.5 -05 / -5 -05 / -4.5 -05,-4 -05,-180,+0.5 -05,,
2010-2011 Regular Season,10/29/10,Phoenix,Home,27,23,29,27,,,,,106,240,44,93,9,24,9,13,12,31,43,21,14,4,10,7,106,94.8,94.8,111.9,120.3,3IN4-B2B,G.Hill,H.Turkoglu,R.Lopez,J.Richardson,S.Nash,,Tommy Nunez Jr.,211.5,4,211.5,09 / 208.5 / 208,207.5,160,103,Boxscore,Odds
2010-2011 Regular Season,10/30/10,Washington,Road,27,13,30,25,,,,,95,240,38,76,4,12,15,21,8,26,34,16,25,8,18,13,95,93.5,93.5,101.6,105.8,1,A.Thornton,A.Blatche,J.McGee,K.Hinrich,J.Wall,Scott Foster,Rodney Mott,195,10,195,94.5 / 195 / 196,195.5,400,97,,
2010-2011 Regular Season,10/30/10,Atlanta,Home,18,26,26,29,,,,,99,240,34,81,5,19,26,30,13,30,43,19,22,4,17,4,99,93.5,93.5,105.8,101.6,3IN4-B2B,M.Williams,J.Smith,A.Horford,J.Johnson,M.Bibby,,Curtis Blair,-10 -05,-10,195,10 -05 / -10  / -9.5,-9,-500,-4.5,Boxscore,Odds
2010-2011 Regular Season,10/30/10,Sacramento,Road,34,19,31,23,,,,,107,240,40,77,9,15,18,24,11,32,43,24,21,7,15,4,107,91.8,91.8,116.5,113.3,3IN4-B2B,O.Casspi,C.Landry,D.Cousins,T.Evans,B.Udrih,Steve Javie,Leroy Richardson,196,3,196,94 / 193.5 / 193,192.5,130,94,,
2010-2011 Regular Season,10/30/10,Cleveland,Home,34,33,15,22,,,,,104,240,39,80,6,19,20,29,10,25,35,22,19,8,13,2,104,91.8,91.8,113.3,116.5,3IN4-B2B,J.Moon,J.Hickson,A.Varejao,A.Parker,R.Sessions,,Mark Ayotte,-3 -05,-3,196,3  / -2.5  / -2,-3,-150,3,Boxscore,Odds
2010-2011 Regular Season,10/30/10,Portland,Road,26,18,30,26,,,,,100,240,37,76,6,13,20,30,9,32,41,22,22,7,15,7,100,94.7,94.7,105.6,100.3,2,L.Aldridge,N.Batum,M.Camby,A.Miller,B.Roy,Ed Malloy,Zach Zarba,-4.5 -07,-4.5,196.5,4.5  / -4  / -4.5,-5,-230,-3,,
2010-2011 Regular Season,10/30/10,New York,Home,19,25,30,21,,,,,95,240,37,88,7,28,14,25,18,33,51,16,24,8,17,6,95,94.7,94.7,100.3,105.6,3IN4-B2B,D.Gallinari,A.Stoudemire,T.Mozgov,R.Felton,L.Fields,,Karl Lane,196.5o13,4.5,196.5,98.5 / 199.5 / 200,199.5,190,99,Boxscore,Odds
2010-2011 Regular Season,10/30/10,Detroit,Road,24,39,19,9,,,,,91,240,31,82,5,18,24,35,12,32,44,14,25,8,18,7,91,99.5,99.5,91.4,101.5,3IN4-B2B,T.Prince,A.Daye,B.Wallace,R.Hamilton,R.Stuckey,Kevin Fehr,Derrick Stafford,192.5,10,192.5,93 / 193.5 / 194,193.5,360,96,,
2010-2011 Regular Season,10/30/10,Chicago,Home,21,23,23,34,,,,,101,240,37,86,5,18,22,31,14,37,51,17,26,11,16,10,101,99.5,99.5,101.5,91.4,2,L.Deng,T.Gibson,J.Noah,K.Bogans,D.Rose,,Eli Roe,-10 -05,-10,192.5,9.5  / -10  / -9.5,-9,-460,-8.5,Boxscore,Odds
2010-2011 Regular Season,10/30/10,Philadelphia,Road,26,25,15,20,,,,,86,240,36,82,6,11,8,16,12,34,46,13,26,9,19,11,86,97.0,97.0,88.6,102.0,3IN4-B2B,A.Nocioni,E.Brand,S.Hawes,J.Holiday,A.Iguodala,Ron Garretson,Tony Brown,205,4.5,205,06.5 / 207 / 207.5,208,190,103.5,,
2010-2011 Regular Season,10/30/10,Indiana,Home,21,30,27,21,,,,,99,240,37,89,7,24,18,25,16,35,51,18,16,10,18,6,99,97.0,97.0,102.0,88.6,3IN4-B2B,D.Granger,J.McRoberts,R.Hibbert,M.Dunleavy,D.Collison,,Eric Dalen,-4.5 -05,-4.5,205,4.5 -05 / -4.5  / -5,-5.5,-230,-3.5,Boxscore,Odds
2010-2011 Regular Season,10/30/10,Minnesota,Road,19,27,29,14,,,,,89,240,31,89,6,20,21,32,19,38,57,15,21,9,30,3,89,108.8,108.8,81.8,100.2,3IN4-B2B,M.Beasley,K.Love,D.Milicic,W.Ellington,L.Ridnour,David Jones,Greg Willard,210,7.5,210,10 / 210.5 / 210,210.5,250,105,,
2010-2011 Regular Season,10/30/10,Memphis,Home,34,25,28,22,,,,,109,240,43,93,8,20,15,18,9,34,43,27,25,22,18,4,109,108.8,108.8,100.2,81.8,3IN4-B2B,R.Gay,D.Arthur,M.Gasol,O.Mayo,M.Conley,,Scott Twardoski,-7.5 -05,-7.5,210,8.5  / -8  / -7.5,-7,-300,PK ,Boxscore,Odds
2010-2011 Regular Season,10/30/10,Denver,Road,24,24,24,35,,,,,107,240,34,90,10,27,29,33,13,35,48,16,24,9,12,4,107,98.9,98.9,108.2,95.1,3IN4-B2B,C.Anthony,S.Williams,N.Hilario,A.Afflalo,C.Billups,Dick Bavetta,Matt Boland,212,5,212,14 / 215.5 / 216,216.5,170,106.5,,
2010-2011 Regular Season,10/30/10,Houston,Home,27,24,18,25,,,,,94,240,37,81,3,19,17,21,9,35,44,19,26,4,19,7,94,98.9,98.9,95.1,108.2,2,S.Battier,L.Scola,Y.Ming,K.Martin,A.Brooks,,Kevin Cutler,-5 -05,-5,212,5  / -5.5  / -4.5,-5,-200,-2.5,Boxscore,Odds
