DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2010-2011 Regular Season,10/26/10,Miami,Road,9,21,27,23,,,,,80,240,27,74,8,20,18,25,11,28,39,15,21,10,17,6,80,89.5,89.5,89.4,98.4,3+,L.James,C.Bosh,J.Anthony,D.Wade,C.Arroyo,Tony Brothers,Dan Crawford,-2 -03,-2,193,1.5  / -2  / -1.5,-1,-125,,,
2010-2011 Regular Season,10/26/10,Boston,Home,16,29,18,25,,,,,88,240,32,69,8,16,16,25,8,34,42,25,19,6,20,4,88,89.5,89.5,98.4,89.4,3+,P.Pierce,K.Garnett,S.O`Neal,R.Allen,R.Rondo,,Brian Forte,193o10,2,193,88.5 / 188 / 187.5,188,105,,Boxscore,Odds
2010-2011 Regular Season,10/26/10,Phoenix,Road,26,20,35,11,,,,,92,240,36,74,9,19,11,16,7,23,30,15,19,3,19,4,92,91.1,91.1,101.0,116.3,3+,G.Hill,H.Turkoglu,R.Lopez,J.Richardson,S.Nash,Rodney Mott,Violet Palmer,200.5,5.5,200.5,02.5 / 203 / 203.5,204,255,101.5,,
2010-2011 Regular Season,10/26/10,Portland,Home,28,22,25,31,,,,,106,240,43,93,10,20,10,15,18,30,48,31,22,11,15,2,106,91.1,91.1,116.3,101.0,3+,N.Batum,L.Aldridge,M.Camby,B.Roy,A.Miller,,Bill Spooner,-5.5 -05,-5.5,200.5,7.5  / -7  / -6.5,-7,-310,-3.5,Boxscore,Odds
2010-2011 Regular Season,10/26/10,Houston,Road,33,29,20,28,,,,,110,240,38,91,8,20,26,28,16,37,53,25,25,6,21,7,110,103.1,103.1,106.7,108.6,3+,S.Battier,L.Scola,Y.Ming,K.Martin,A.Brooks,Bennie Adams,Bill Kennedy,202,9.5,202,94.5 / 194 / 194.5,195,255,99,,
2010-2011 Regular Season,10/26/10,LA Lakers,Home,26,25,26,35,,,,,112,240,40,96,9,21,23,28,14,30,44,21,24,11,12,4,112,103.1,103.1,108.6,106.7,3+,R.Artest,L.Odom,P.Gasol,K.Bryant,D.Fisher,,Gary Zielinski,-9.5 -05,-9.5,202,7.5 -05 / -7.5  / -7,-6.5,-310,-7 -15,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Boston,Road,23,24,26,14,,,,,87,240,34,72,3,12,16,21,6,32,38,24,24,8,19,1,87,93.6,93.6,92.9,101.5,B2B,P.Pierce,K.Garnett,S.O`Neal,R.Allen,R.Rondo,Bob Delaney,Michael Smith,-3 -05,-3,189,4  / -4.5  / -4,-4.5,-200,-2.5 -20,,
2010-2011 Regular Season,10/27/10,Cleveland,Home,21,25,22,27,,,,,95,240,36,81,6,20,17,21,8,29,37,24,20,5,15,4,95,93.6,93.6,101.5,92.9,3+,J.Moon,J.Hickson,A.Varejao,A.Parker,R.Sessions,,Haywoode Workman,189,3,189,83.5 / 184 / 184.5,185,170,91.5,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Detroit,Road,20,27,20,31,,,,,98,240,37,83,8,19,16,30,10,27,37,21,19,7,6,3,98,90.3,90.3,108.5,111.8,3+,T.Prince,A.Daye,B.Wallace,R.Hamilton,R.Stuckey,Joe Crawford,Jason Phillips,194.5,4,194.5,87.5 / 187 / 187.5,188,145,94.5,,
2010-2011 Regular Season,10/27/10,New Jersey,Home,20,19,31,31,,,,,101,240,39,80,6,14,17,24,9,35,44,17,23,4,12,4,101,90.3,90.3,111.8,108.5,3+,T.Outlaw,J.Smith,B.Lopez,A.Morrow,D.Harris,,Josh Tiven,-4 -05,-4,194.5,3.5  / -4  / -3.5,-4,-165,-4 -05,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Miami,Road,18,31,31,17,,,,,97,240,33,69,8,16,23,31,5,32,37,15,18,8,16,6,97,93.0,93.0,104.3,93.6,B2B,L.James,C.Bosh,J.Anthony,D.Wade,C.Arroyo,James Capers,Leon Wood,-8 -05,-8,191,7.5 -02 / -7.5 EVEN / -7.5,-8,-380,-2.5 -20,,
2010-2011 Regular Season,10/27/10,Philadelphia,Home,15,26,13,33,,,,,87,240,36,83,7,18,8,11,10,28,38,24,22,10,19,4,87,93.0,93.0,93.6,104.3,3+,J.Kapono,E.Brand,S.Hawes,A.Iguodala,J.Holiday,,Mark Lindsay,191,8,191,91.5 / 192 / 192.5,192,310,97,Boxscore,Odds
2010-2011 Regular Season,10/27/10,New York,Road,29,22,23,24,,,,,98,240,38,88,7,24,15,17,13,36,49,12,23,4,16,10,98,97.9,97.9,100.1,95.0,3+,D.Gallinari,A.Stoudemire,T.Mozgov,L.Fields,R.Felton,Steve Javie,Leroy Richardson,209.5,2.5,209.5,15.5 / 215 / 214,214.5,103,107,,
2010-2011 Regular Season,10/27/10,Toronto,Home,22,25,25,21,,,,,93,240,36,94,3,10,18,24,12,33,45,20,20,6,12,5,93,97.9,97.9,95.0,100.1,3+,L.Kleiza,R.Evans,A.Bargnani,D.DeRozan,J.Jack,,Kane Fitzgerald,-2.5 -05,-2.5,209.5,1  / PK  / +1,PK,-114,-1 -15,Boxscore,Odds
2010-2011 Regular Season,10/27/10,Atlanta,Road,30,32,29,28,,,,,119,240,42,80,8,16,27,31,9,35,44,20,20,7,15,9,119,99.0,99.0,120.2,105.1,3+,M.Williams,J.Smith,A.Horford,J.Johnson,M.Bibby,Mike Callahan,Olandis Poole,198,5.5,198,92 / 191.5 / 192,192.5,110,96,,
